"SiteId","SiteName","MonitorDate","AQI","SO2SubIndex","COSubIndex","O3SubIndex","PM10SubIndex","NO2SubIndex","O38SubIndex","PM25SubIndex"
1,"基隆","2019-07-25",47,6,3,NA,27,14,47,44
2,"汐止","2019-07-25",101,14,6,NA,33,25,101,57
4,"新店","2019-07-25",67,7,5,NA,28,21,67,45
5,"土城","2019-07-25",67,6,6,NA,31,25,67,54
6,"板橋","2019-07-25",64,11,6,NA,29,24,64,59
7,"新莊","2019-07-25",51,26,7,NA,31,27,51,49
8,"菜寮","2019-07-25",46,7,7,NA,27,21,46,44
9,"林口","2019-07-25",40,10,3,NA,23,22,40,23
10,"淡水","2019-07-25",33,7,6,NA,25,21,29,33
11,"士林","2019-07-25",43,4,5,NA,27,21,37,43
12,"中山","2019-07-25",46,6,8,NA,30,38,42,46
13,"萬華","2019-07-25",45,4,7,NA,29,27,45,38
14,"古亭","2019-07-25",67,6,6,NA,29,28,67,50
15,"松山","2019-07-25",90,9,5,NA,32,27,90,58
16,"大同","2019-07-25",52,7,24,NA,33,49,NA,52
18,"大園","2019-07-25",41,7,2,NA,19,16,31,41
20,"平鎮","2019-07-25",52,6,3,NA,22,18,34,52
21,"龍潭","2019-07-25",51,6,3,NA,19,14,41,51
22,"湖口","2019-07-25",43,7,3,NA,22,43,24,36
23,"竹東","2019-07-25",37,4,2,NA,22,8,37,31
24,"新竹","2019-07-25",32,9,3,NA,20,17,20,32
25,"頭份","2019-07-25",23,7,NA,NA,19,21,NA,23
26,"苗栗","2019-07-25",44,4,3,NA,16,12,22,44
27,"三義","2019-07-25",35,11,2,NA,19,14,31,35
28,"豐原","2019-07-25",47,4,3,NA,19,13,39,47
29,"沙鹿","2019-07-25",26,6,2,NA,17,13,26,11
30,"大里","2019-07-25",35,6,3,NA,22,12,35,34
31,"忠明","2019-07-25",36,6,3,NA,18,12,31,36
32,"西屯","2019-07-25",34,3,2,NA,19,15,32,34
33,"彰化","2019-07-25",36,11,2,NA,17,9,28,36
34,"線西","2019-07-25",34,6,NA,NA,20,8,NA,34
35,"二林","2019-07-25",39,6,2,NA,22,11,25,39
36,"南投","2019-07-25",29,4,2,NA,22,10,28,29
37,"斗六","2019-07-25",33,4,3,NA,17,8,33,NA
38,"崙背","2019-07-25",29,3,2,NA,19,10,24,29
39,"新港","2019-07-25",41,13,3,NA,19,13,24,41
40,"朴子","2019-07-25",20,4,2,NA,14,9,20,19
41,"臺西","2019-07-25",31,4,NA,NA,16,8,NA,31
42,"嘉義","2019-07-25",29,3,2,NA,18,8,29,27
43,"新營","2019-07-25",26,4,2,NA,15,8,25,26
44,"善化","2019-07-25",27,3,2,NA,14,10,27,24
45,"安南","2019-07-25",44,6,3,NA,15,15,26,44
46,"臺南","2019-07-25",29,6,2,NA,13,11,26,29
47,"美濃","2019-07-25",38,4,2,NA,19,5,38,19
48,"橋頭","2019-07-25",32,6,2,NA,18,11,27,32
49,"仁武","2019-07-25",35,16,3,NA,19,14,24,35
50,"鳳山","2019-07-25",20,6,5,NA,17,14,NA,20
51,"大寮","2019-07-25",42,10,3,NA,24,16,25,42
52,"林園","2019-07-25",39,4,2,NA,21,14,31,39
53,"楠梓","2019-07-25",35,4,3,NA,17,15,23,35
54,"左營","2019-07-25",26,6,3,NA,12,13,26,16
56,"前金","2019-07-25",29,4,3,NA,13,10,29,23
57,"前鎮","2019-07-25",27,6,NA,NA,14,15,NA,27
58,"小港","2019-07-25",23,7,3,NA,18,20,19,23
59,"屏東","2019-07-25",40,4,3,NA,23,13,40,38
60,"潮州","2019-07-25",44,7,2,NA,21,11,39,44
61,"恆春","2019-07-25",24,3,1,NA,11,2,22,24
62,"臺東","2019-07-25",35,3,3,NA,19,4,35,28
63,"花蓮","2019-07-25",24,3,2,NA,16,7,24,23
64,"陽明","2019-07-25",39,4,2,NA,16,8,39,31
65,"宜蘭","2019-07-25",36,4,2,NA,22,7,35,36
66,"冬山","2019-07-25",43,6,5,NA,28,13,38,43
67,"三重","2019-07-25",49,9,19,NA,30,49,NA,40
68,"中壢","2019-07-25",55,6,17,NA,20,31,NA,55
69,"竹山","2019-07-25",40,4,2,NA,20,5,40,30
70,"永和","2019-07-25",42,7,12,NA,30,31,NA,42
71,"復興","2019-07-25",23,7,6,NA,12,14,NA,23
72,"埔里","2019-07-25",43,4,3,NA,19,12,42,43
75,"馬祖","2019-07-25",35,3,1,NA,23,13,35,34
77,"金門","2019-07-25",31,7,1,NA,19,9,24,31
78,"馬公","2019-07-25",19,NA,2,NA,5,6,19,3
80,"關山","2019-07-25",NA,NA,NA,NA,NA,NA,NA,NA
83,"麥寮","2019-07-25",23,6,NA,NA,19,11,NA,23
84,"富貴角","2019-07-25",36,4,3,NA,19,16,29,36
1,"基隆","2019-07-24",46,9,3,NA,20,14,46,35
2,"汐止","2019-07-24",64,9,8,NA,25,33,64,47
3,"萬里","2019-07-24",19,7,2,NA,NA,7,19,NA
4,"新店","2019-07-24",84,6,5,NA,20,20,84,35
5,"土城","2019-07-24",71,6,6,NA,28,29,71,47
6,"板橋","2019-07-24",77,11,9,NA,27,37,77,56
7,"新莊","2019-07-24",61,7,8,NA,27,29,61,48
8,"菜寮","2019-07-24",49,7,9,NA,22,40,49,40
9,"林口","2019-07-24",49,10,5,NA,22,31,49,30
10,"淡水","2019-07-24",40,6,6,NA,22,25,40,29
11,"士林","2019-07-24",58,7,6,NA,23,33,58,49
